compound_id,compound_name,endpoint,admet_ai_probability,admet_ai_ensemble_std,admet_ai_drugbank_percentile,admetlab_probability,absolute_probability_difference,uncertainty_cutoff_empirical_p75,consensus,evidence_type
9,vestitol,AMES mutagenicity,0.2269624,0.07782185,51.10720562390159,0.4945051968097687,0.26754279680976867,0.139016615,CONSENSUS_LOW_CONCERN,PREDICTED
10,4'-O-methylpreglabridin,AMES mutagenicity,0.15848148,0.0343511,39.156414762741655,0.5533154010772705,0.3948339210772705,0.139016615,MODEL_DISAGREEMENT,PREDICTED
11,4'-O-methylglabridin,AMES mutagenicity,0.43493098,0.06755269,73.25131810193322,0.5618171691894531,0.1268861891894531,0.139016615,MODEL_DISAGREEMENT,PREDICTED
13,demethylvestitol,AMES mutagenicity,0.15037774,0.067299224,38.10193321616872,0.4737323522567749,0.32335461225677486,0.139016615,CONSENSUS_LOW_CONCERN,PREDICTED
14,preglabridin,AMES mutagenicity,0.1804369,0.07288097,43.198594024604574,0.4950321018695831,0.31459520186958306,0.139016615,CONSENSUS_LOW_CONCERN,PREDICTED
15,glabridin,AMES mutagenicity,0.29778117,0.03716066,59.82425307557119,0.7145677208900452,0.4167865508900452,0.139016615,MODEL_DISAGREEMENT,PREDICTED
9,vestitol,Drug-induced liver injury,0.44499645,0.15968196,52.44288224956064,0.2507930696010589,0.19420338039894108,0.139016615,HIGH_UNCERTAINTY,PREDICTED
10,4'-O-methylpreglabridin,Drug-induced liver injury,0.47134066,0.15974373,54.23550087873463,0.3619173169136047,0.10942334308639534,0.139016615,HIGH_UNCERTAINTY,PREDICTED
11,4'-O-methylglabridin,Drug-induced liver injury,0.5672803,0.091851175,58.48857644991213,0.7390751838684082,0.17179488386840824,0.139016615,CONSENSUS_CONCERN,PREDICTED
13,demethylvestitol,Drug-induced liver injury,0.36282733,0.20440629,47.557117750439375,0.0702652931213378,0.2925620368786622,0.139016615,HIGH_UNCERTAINTY,PREDICTED
14,preglabridin,Drug-induced liver injury,0.36203966,0.18087855,47.5219683655536,0.3831071555614471,0.021067495561447103,0.139016615,HIGH_UNCERTAINTY,PREDICTED
15,glabridin,Drug-induced liver injury,0.48026055,0.14393564,54.79789103690686,0.1210717186331749,0.3591888313668251,0.139016615,HIGH_UNCERTAINTY,PREDICTED
9,vestitol,Carcinogenicity,0.037863694,0.017209593,14.0597539543058,0.6870729327201843,0.6492092387201843,0.139016615,MODEL_DISAGREEMENT,PREDICTED
10,4'-O-methylpreglabridin,Carcinogenicity,0.060101025,0.015307018,18.84007029876977,0.535907506942749,0.475806481942749,0.139016615,MODEL_DISAGREEMENT,PREDICTED
11,4'-O-methylglabridin,Carcinogenicity,0.03486444,0.021096455,13.49736379613357,0.6845101714134216,0.6496457314134216,0.139016615,MODEL_DISAGREEMENT,PREDICTED
13,demethylvestitol,Carcinogenicity,0.03881349,0.01965747,14.200351493848858,0.6431609392166138,0.6043474492166138,0.139016615,MODEL_DISAGREEMENT,PREDICTED
14,preglabridin,Carcinogenicity,0.061011143,0.019768788,19.086115992970125,0.2721747756004333,0.2111636326004333,0.139016615,CONSENSUS_LOW_CONCERN,PREDICTED
15,glabridin,Carcinogenicity,0.053176247,0.03389606,17.293497363796135,0.6303020715713501,0.5771258245713501,0.139016615,MODEL_DISAGREEMENT,PREDICTED
9,vestitol,hERG inhibition,0.6554569,0.15067066,70.26362038664324,0.2865143716335296,0.3689425283664704,0.139016615,HIGH_UNCERTAINTY,PREDICTED
10,4'-O-methylpreglabridin,hERG inhibition,0.7444747,0.16249466,75.11423550087873,0.191556766629219,0.552917933370781,0.139016615,HIGH_UNCERTAINTY,PREDICTED
11,4'-O-methylglabridin,hERG inhibition,0.85306007,0.081432834,83.02284710017575,0.3738560676574707,0.47920400234252924,0.139016615,MODEL_DISAGREEMENT,PREDICTED
13,demethylvestitol,hERG inhibition,0.4571828,0.15076882,60.421792618629176,0.2504816651344299,0.20670113486557012,0.139016615,HIGH_UNCERTAINTY,PREDICTED
14,preglabridin,hERG inhibition,0.62956023,0.18996234,68.78734622144113,0.1386437714099884,0.49091645859001165,0.139016615,HIGH_UNCERTAINTY,PREDICTED
15,glabridin,hERG inhibition,0.75716794,0.1419855,75.92267135325133,0.2300914078950882,0.5270765321049118,0.139016615,HIGH_UNCERTAINTY,PREDICTED
