compound_id,endpoint,admetlab_prediction,admetlab_probability,admetlab_uncertainty,protox_prediction,protox_probability,protox_confidence,consensus,evidence_type
9,Skin sensitization,low_concern,0.33189111948013306,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Ames mutagenicity,low_concern,0.4945051968097687,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Drug-induced liver injury,low_concern,0.25079306960105896,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Carcinogenicity,concern,0.6870729327201843,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Respiratory toxicity,concern,0.8480971455574036,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Human hepatotoxicity,concern,0.6083526611328125,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Neurotoxicity,low_concern,0.31642019748687744,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Nephrotoxicity,low_concern,0.17957018315792084,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,Genotoxicity,low_concern,0.35474762320518494,,,,,SINGLE_MODEL_ONLY,PREDICTED
9,hERG inhibition,low_concern,0.28651437163352966,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Skin sensitization,concern,0.6598843932151794,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Ames mutagenicity,concern,0.5533154010772705,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Drug-induced liver injury,low_concern,0.36191731691360474,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Carcinogenicity,concern,0.535907506942749,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Respiratory toxicity,concern,0.9604402184486389,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Human hepatotoxicity,concern,0.6502286791801453,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Neurotoxicity,low_concern,0.437726229429245,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Nephrotoxicity,concern,0.6370229125022888,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,Genotoxicity,low_concern,0.468120813369751,,,,,SINGLE_MODEL_ONLY,PREDICTED
10,hERG inhibition,low_concern,0.19155676662921906,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Skin sensitization,concern,0.5747218132019043,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Ames mutagenicity,concern,0.5618171691894531,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Drug-induced liver injury,concern,0.7390751838684082,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Carcinogenicity,concern,0.6845101714134216,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Respiratory toxicity,concern,0.9856956601142883,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Human hepatotoxicity,concern,0.755935549736023,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Neurotoxicity,concern,0.6769357323646545,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Nephrotoxicity,concern,0.6421052813529968,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,Genotoxicity,low_concern,0.24591240286827087,,,,,SINGLE_MODEL_ONLY,PREDICTED
11,hERG inhibition,low_concern,0.3738560676574707,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Skin sensitization,concern,0.5201659202575684,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Ames mutagenicity,low_concern,0.4737323522567749,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Drug-induced liver injury,low_concern,0.07026529312133789,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Carcinogenicity,concern,0.6431609392166138,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Respiratory toxicity,concern,0.7349361181259155,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Human hepatotoxicity,concern,0.6671686768531799,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Neurotoxicity,low_concern,0.24120154976844788,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Nephrotoxicity,low_concern,0.07295285165309906,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,Genotoxicity,concern,0.7323291301727295,,,,,SINGLE_MODEL_ONLY,PREDICTED
13,hERG inhibition,low_concern,0.25048166513442993,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Skin sensitization,concern,0.9579405784606934,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Ames mutagenicity,low_concern,0.49503210186958313,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Drug-induced liver injury,low_concern,0.38310715556144714,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Carcinogenicity,low_concern,0.27217477560043335,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Respiratory toxicity,concern,0.9869275689125061,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Human hepatotoxicity,concern,0.8201214075088501,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Neurotoxicity,concern,0.6470482349395752,,,,,SINGLE_MODEL_ONLY,PREDICTED
14,Nephrotoxicity,concern,0.6304465532302856,,,,,SINGLE_MODEL_ONLY,PREDICTED
